tier,symbol,company_name,sector,sector_etf,sector_change_pct,stock_vs_sector_pct,sector_vs_spy_pct,sector_status,sector_score,price,change_pct,score,base_score,ext_penalty,regime_penalty,risk_category,is_earnings_reaction,catalyst,momentum,execution,squeeze,strength,technical,participation,social,short_pct,float_M,days_to_cover,atr_pct,dollar_vol_M,market_cap_B,days_to_earnings,tags,intraday_score,vwap,vwap_dist_pct,above_vwap,hod,lod,from_hod_pct,near_hod,intraday_volume,data_source,catalyst_label,catalyst_sentiment,catalyst_score,catalyst_headline,catalyst_source,catalyst_time,risk_flags,setup_bucket
1,HIMX,"Himax Technologies, Inc.",Technology,XLK,1.34,14.73,1.12,LEADING,4,20.65,16.08,79,68,0,0,NORMAL,False,0,15,17,0,15,11,10,0,7.79,247.1,2.7,7.74,107.4,3.6,—,Tight consolidation · Big move +16.1% · Vol surge 6.0x · $107M liq · Clean price · RS strong (5/20/60d) · Near 52WH,7.0,20.8123,-0.66,False,21.78,18.77,-5.07,False,330418.0,Yahoo + IEX,No confirmed company-specific catalyst,NONE,0.0,,,,,ACTIVE_MOMENTUM
1,LASR,"nLIGHT, Inc.",Technology,XLK,1.34,13.59,1.12,LEADING,4,84.95,14.94,73,53,0,0,NORMAL,False,0,10,15,0,15,10,3,0,5.33,55.0,2.3,7.73,104.0,4.79,—,Above VWAP · Upper range · Near HOD · Consolidating · Big move +14.9% · $104M liq · Clean price,16.0,83.0901,2.25,True,84.98,76.28,-0.02,True,128293.0,Yahoo + IEX,No confirmed company-specific catalyst,NONE,0.0,,,,,ACTIVE_MOMENTUM
1,IONQ,"IonQ, Inc.",Technology,XLK,1.34,14.19,1.12,LEADING,4,56.89,15.54,71,55,0,0,NORMAL,False,0,6,15,3,12,10,5,4,23.18,370.5,3.6,7.56,2366.8,21.24,—,📰 Company-specific news · Above VWAP · Upper range · Consolidating · Big move +15.5% · $2367M liq · Clean price · SI 23%,12.0,55.7839,1.99,True,58.525,47.93,-2.79,False,2058716.0,Yahoo + IEX,Company-specific fresh news,NEUTRAL,0.0,What's Going On With IonQ Stock Monday?,benzinga,2026-05-11T17:58:52Z,,ACTIVE_MOMENTUM
1,EVC,Entravision Communications Corp,Communication Services,XLC,-1.16,25.05,-1.39,WEAK,-2,8.87,23.88,68,59,0,0,NORMAL,False,0,14,8,2,15,10,10,0,1.24,65.0,1.7,7.96,30.1,0.82,—,Above VWAP extended · Upper range · Near HOD · Major move +23.9% · Lower-price tradable · Float 65M · RS strong (5/20/60d),11.0,8.3482,6.13,True,8.87,7.405,-0.11,True,290361.0,Yahoo + IEX,No confirmed company-specific catalyst,NONE,0.0,,,,,ACTIVE_MOMENTUM
1,EXK,Endeavour Silver Corporation,Basic Materials,XLB,1.3,11.56,1.07,LEADING,4,11.32,12.86,67,45,0,0,NORMAL,False,0,8,15,0,9,10,3,0,0.0,295.4,1.9,6.23,92.1,3.35,—,Above VWAP · Upper range · Near HOD · Tight consolidation · Big move +12.9% · $92M liq · ATR 6.2% (clean),18.0,11.0064,2.85,True,11.32,10.38,0.0,True,574007.0,Yahoo + IEX,No confirmed company-specific catalyst,NONE,0.0,,,,,ACTIVE_MOMENTUM
1,NVTS,Navitas Semiconductor Corporati,Technology,XLK,1.34,23.11,1.12,LEADING,4,22.65,24.45,65,51,0,0,NORMAL,False,0,10,9,0,15,9,6,2,20.45,206.1,1.3,11.2,928.3,5.29,—,Above VWAP · Upper range · Major move +24.5% · $928M liq · Clean price · RS strong (5/20/60d) · Near 52WH,10.0,22.3737,1.15,True,23.81,17.99,-4.96,False,2453805.0,Yahoo + IEX,No confirmed company-specific catalyst,NONE,0.0,,,,,ACTIVE_MOMENTUM
2,FCEL,"FuelCell Energy, Inc.",Industrials,XLI,1.06,15.29,0.83,LEADING,4,15.94,16.35,58,44,0,0,NORMAL,False,0,6,9,0,15,9,5,0,8.68,52.8,0.9,11.75,139.5,0.84,—,Above VWAP · Upper range · Big move +16.4% · $140M liq · Clean price · RS strong (5/20/60d) · Near 52WH,10.0,15.8333,0.74,True,16.84,13.23,-5.29,False,397737.0,Yahoo + IEX,No confirmed company-specific catalyst,NONE,0.0,,,,,ACTIVE_MOMENTUM
2,HYMC,Hycroft Mining Holding Corporat,Basic Materials,XLB,1.3,12.41,1.07,LEADING,4,43.71,13.71,55,46,0,0,NORMAL,False,0,6,12,4,8,11,5,0,16.03,53.2,3.9,7.61,91.7,3.99,—,Consolidating · Big move +13.7% · $92M liq · Clean price · Float 53M · RS positive · EMA stack ↑,5.0,43.744,-0.03,False,45.46,41.12,-3.81,False,134772.0,Yahoo + IEX,No confirmed company-specific catalyst,NONE,0.0,,,,,ACTIVE_MOMENTUM
2,AEVA,"Aeva Technologies, Inc.",Technology,XLK,1.34,13.1,1.12,LEADING,4,15.53,14.44,53,39,0,0,NORMAL,False,0,10,4,5,11,6,3,0,19.34,30.5,6.8,11.14,26.6,0.98,—,Above VWAP · Consolidating · Big move +14.4% · Clean price · Float 30M · RS positive · V-recovery,10.0,15.4966,0.09,True,16.605,13.38,-6.59,False,129083.0,Yahoo + IEX,No confirmed company-specific catalyst,NONE,0.0,,,,,ACTIVE_MOMENTUM
2,IPI,"Intrepid Potash, Inc",Basic Materials,XLB,1.3,14.41,1.07,LEADING,4,43.75,15.71,52,37,0,0,NORMAL,False,0,6,5,0,12,8,6,0,2.3599999,10.6,0.7,5.12,10.7,0.59,—,Above VWAP extended · Upper range · Near HOD · Big move +15.7% · ATR 5.1% (clean) · Clean price · RS strong (5/20/60d),11.0,41.4408,5.57,True,43.75,38.96,0.0,True,7534.0,Yahoo + IEX,No confirmed company-specific catalyst,NONE,0.0,,,,,ACTIVE_MOMENTUM
