tier,symbol,company_name,sector,sector_etf,sector_change_pct,stock_vs_sector_pct,sector_vs_spy_pct,sector_status,sector_score,price,change_pct,score,base_score,ext_penalty,regime_penalty,risk_category,is_earnings_reaction,catalyst,momentum,execution,squeeze,strength,technical,participation,social,short_pct,float_M,days_to_cover,atr_pct,dollar_vol_M,market_cap_B,days_to_earnings,tags,intraday_score,vwap,vwap_dist_pct,above_vwap,hod,lod,from_hod_pct,near_hod,intraday_volume,data_source,catalyst_label,catalyst_sentiment,catalyst_score,catalyst_headline,catalyst_source,catalyst_time,risk_flags,setup_bucket
1,FPS,"Forgent Power Solutions, Inc.",Industrials,XLI,1.02,5.44,0.79,LEADING,4,42.99,6.46,69,47,0,0,NORMAL,False,0,3,16,4,15,9,0,0,17.53,93.6,1.0,5.98,176.7,13.09,—,Above VWAP · Upper range · Near HOD · Tight consolidation · $177M liq · ATR 6.0% (clean) · Clean price,18.0,42.3243,1.48,True,43.02,40.18,-0.16,True,89026.0,Yahoo + IEX,No confirmed company-specific catalyst,NONE,0.0,,,,,POTENTIAL_MOVER
1,RIOT,"Riot Platforms, Inc.",Crypto,IBIT,1.57,4.41,1.33,LEADING,4,25.52,5.98,66,44,0,0,NORMAL,False,0,3,16,0,15,9,1,0,14.23,348.5,3.1,5.93,544.1,9.65,—,Above VWAP · Upper range · Near HOD · Tight consolidation · $544M liq · ATR 5.9% (clean) · Clean price,18.0,25.1264,1.87,True,25.61,23.845,-0.06,True,748494.0,Yahoo + IEX,No confirmed company-specific catalyst,NONE,0.0,,,,,POTENTIAL_MOVER
1,NOK,Nokia Corporation Sponsored,Technology,XLK,1.21,6.35,0.97,LEADING,4,13.79,7.57,65,45,0,0,NORMAL,False,0,3,16,0,15,9,0,2,1.2200001,4443.6,0.9,6.07,1526.0,76.98,—,📰 Company-specific news · Above VWAP · Upper range · Near HOD · Consolidating · $1526M liq · ATR 6.1% (clean) · Clean price,16.0,13.3461,3.51,True,13.84,12.765,-0.18,True,4299855.0,Yahoo + IEX,Company-specific fresh news,NEUTRAL,0.0,Is Nokia A Buy? Analyzing The Lockheed Martin Deal And Q4 2026 Outlook,benzinga,2026-05-11T13:37:33Z,,POTENTIAL_MOVER
1,B,Barrick Mining Corporation,Basic Materials,XLB,1.34,7.09,1.1,LEADING,4,46.77,8.43,65,43,0,0,NORMAL,False,0,5,18,0,9,8,3,0,0.0,1669.2,0.9,3.23,544.6,78.54,—,📰 Company-specific news · Above VWAP · Upper range · Near HOD · Tight consolidation · $545M liq · ATR 3.2% (clean) · Clean price,18.0,46.478,0.65,True,47.055,44.3,-0.58,True,1322605.0,Yahoo + IEX,Company-specific fresh news,NEUTRAL,0.0,"Gold Prices Are Booming, And Barrick Is Cashing In Big",benzinga,2026-05-11T13:33:21Z,,POTENTIAL_MOVER
2,NESR,National Energy Services Reunit,Energy,XLE,2.35,7.56,2.11,LEADING,4,25.39,9.91,63,43,0,0,NORMAL,False,0,3,11,0,15,9,5,0,4.279999999999999,60.3,1.8,4.83,44.4,2.56,—,Above VWAP · Upper range · Near HOD · Consolidating · ATR 4.8% (clean) · Clean price · RS strong (5/20/60d),16.0,24.6692,2.88,True,25.545,23.5,-0.65,True,61726.0,Yahoo + IEX,No confirmed company-specific catalyst,NONE,0.0,,,,,POTENTIAL_MOVER
2,NSIT,"Insight Enterprises, Inc.",Technology,XLK,1.21,4.06,0.97,LEADING,4,88.21,5.28,62,42,0,0,NORMAL,False,0,7,15,2,9,9,0,0,7.180000000000001,29.7,3.0,5.5,50.8,2.66,—,Above VWAP · Upper range · Near HOD · Consolidating · $51M liq · ATR 5.5% (clean) · Clean price,16.0,87.6166,0.44,True,88.72,84.88,-0.81,True,12141.0,Yahoo + IEX,No confirmed company-specific catalyst,NONE,0.0,,,,,POTENTIAL_MOVER
2,HIMS,"Hims & Hers Health, Inc.",Healthcare,XLV,-0.2,4.55,-0.43,NEUTRAL,0,29.5,4.35,62,46,0,0,NORMAL,False,0,0,16,0,13,9,4,4,37.25,207.7,2.7,6.85,978.4,6.82,—,📰 Company-specific news · Above VWAP · Upper range · Near HOD · Consolidating · $978M liq · ATR 6.8% (clean) · Clean price,16.0,29.3385,1.06,True,29.895,28.55,-0.82,True,728412.0,Yahoo + IEX,Company-specific fresh news,NEUTRAL,0.0,Why Is Hims & Hers Health Stock Trading Higher On Monday?,benzinga,2026-05-11T15:21:51Z,,POTENTIAL_MOVER
2,NEXT,NextDecade Corporation,Energy,XLE,2.35,4.59,2.11,LEADING,4,8.09,6.94,62,40,0,0,NORMAL,False,0,3,9,4,12,7,5,0,16.27,128.4,3.3,6.37,26.9,2.14,—,Above VWAP · Upper range · Near HOD · Tight consolidation · ATR 6.4% (clean) · Lower-price tradable · Float 128M,18.0,7.9612,1.49,True,8.125,7.645,-0.55,True,58354.0,Yahoo + IEX,No confirmed company-specific catalyst,NONE,0.0,,,,,POTENTIAL_MOVER
S,HIMX,"Himax Technologies, Inc.",Technology,XLK,1.21,17.79,0.97,LEADING,4,21.17,19.0,81,67,0,0,NORMAL,False,0,15,15,0,15,12,10,0,7.7,247.1,2.6,7.52,107.0,3.69,—,Above VWAP · Upper range · Big move +19.0% · Vol surge 5.7x · $107M liq · Clean price · RS strong (5/20/60d),10.0,20.8543,1.47,True,21.78,18.77,-2.85,False,239519.0,Yahoo + IEX,No confirmed company-specific catalyst,NONE,0.0,,,,,ACTIVE_MOMENTUM
1,DXYZ,Destiny Tech100 Inc.,Financial Services,XLF,-0.09,23.6,-0.33,NEUTRAL,0,67.44,23.52,76,69,0,0,NORMAL,False,0,17,20,0,15,12,5,0,13.83,0.0,1.1,6.0,174.7,1.48,—,Above VWAP extended · Upper range · Major move +23.5% · RVOL 3.5x · $175M liq · ATR 6.0% (clean) · Clean price,7.0,64.3738,5.93,True,69.01,58.33,-1.19,False,142758.0,Yahoo + IEX,No confirmed company-specific catalyst,NONE,0.0,,,,,ACTIVE_MOMENTUM
